"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3507",7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6
"2629",7,0.24,0.24,9,0.03,42,219,0.99636,3.47,0.46,10.2,6
"1574",7.8,0.26,0.49,3.1,0.045,21,116,0.9931,3.16,0.35,10.3,5
"1232",7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,7
"4565",7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,7
"355",5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6
"4458",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
"1495",7.7,0.35,0.49,8.65,0.033,42,186,0.9931,3.14,0.38,12.4,8
"792",5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
"4839",5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6
"543",5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
"266",6.9,0.29,0.4,19.45,0.043,36,156,0.9996,2.93,0.47,8.9,5
"4582",6,0.27,0.26,1.3,0.038,32,138,0.99125,3.46,0.43,11.1,6
"4764",5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7
"3197",6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
"3923",6.7,0.31,0.3,2.4,0.038,30,83,0.98867,3.09,0.36,12.8,7
"4",7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6
"2902",6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7
"2140",7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
"1418",8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0001,3.04,0.63,11,3
"662",6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7
"1814",7.2,0.15,0.38,1.2,0.038,18,110,0.9917,3.19,0.43,11.1,6
"2028",6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
"2535",6.8,0.23,0.3,1.7,0.043,19,95,0.99207,3.17,0.46,10.7,7
"4530",7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6
"3605",7.4,0.36,0.23,1.9,0.017,31,69,0.9892,2.93,0.36,12.5,6
"2579",5.8,0.3,0.27,1.7,0.014,45,104,0.98914,3.4,0.56,12.6,7
"2319",7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
"917",7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7
"299",7.5,0.17,0.44,11.3,0.046,65,146,0.997,3.17,0.45,10,6
"4354",7.4,0.16,0.3,1.4,0.064,34,166,0.99136,3.11,0.42,11.4333333333333,6
"3559",5.7,0.22,0.22,16.65,0.044,39,110,0.99855,3.24,0.48,9,6
"4557",6.1,0.2,0.4,1.9,0.028,32,138,0.9914,3.26,0.72,11.7,5
"3611",6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,5
"3943",7.2,0.23,0.39,1.5,0.053,26,106,0.99166,3.18,0.47,11.1,6
"74",8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6
"3263",7.6,0.19,0.32,18.75,0.047,32,193,1.00014,3.1,0.5,9.3,7
"1269",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
"4069",7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6
"4520",5.8,0.13,0.22,12.7,0.058,24,183,0.9956,3.32,0.42,11.7,6
"1944",6.3,0.25,0.44,11.6,0.041,48,195,0.9968,3.18,0.52,9.5,5
"3238",6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
"963",7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6
"1378",6.9,0.28,0.41,1.7,0.05,10,136,0.993,3.16,0.71,11.4,6
"3157",6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
"1986",8.1,0.19,0.58,16.65,0.049,48,181,1.0006,3.2,0.62,9.1,6
"724",6.6,0.33,0.31,1.3,0.02,29,89,0.99035,3.26,0.44,12.4,8
"4832",5.8,0.38,0.26,1.1,0.058,20,140,0.99271,3.27,0.43,9.7,6
"2058",6.7,0.31,0.31,4.9,0.031,20,151,0.9926,3.36,0.82,12,7
"2279",6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6
"453",5.9,0.46,0.14,2.7,0.042,27,160,0.9931,3.46,0.51,10.6,7
"3502",6.7,0.24,0.36,8.4,0.042,42,123,0.99473,3.34,0.52,10.9,6
"1039",7.1,0.15,0.34,5.3,0.034,33,104,0.9953,3.37,0.52,9.3,7
"3384",6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,6
"3745",7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7
"1786",8.5,0.21,0.26,9.25,0.034,73,142,0.9945,3.05,0.37,11.4,6
"2687",8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6
"489",7.4,0.29,0.29,1.6,0.045,53,180,0.9936,3.34,0.68,10.5,6
"1934",7.2,0.47,0.65,8.3,0.083,27,182,0.9964,3,0.35,9.2,5
"996",7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6
"1840",7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6
"2421",8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7
"4287",6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6
"4427",6.2,0.21,0.52,6.5,0.047,28,123,0.99418,3.22,0.49,9.9,6
"2814",5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
"4136",5.9,0.26,0.24,2.4,0.046,27,132,0.99234,3.63,0.73,11.3,5
"2181",8,0.36,0.43,10.1,0.053,29,146,0.9982,3.4,0.46,9.5,6
"4629",6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6
"1296",7.5,0.23,0.32,9.2,0.038,54,191,0.9966,3.04,0.56,9.7,6
"144",8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6
"3825",7.3,0.24,0.3,2.5,0.042,31,104,0.9911,3.05,0.56,11.3,7
"2423",6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
"1108",7.2,0.37,0.15,2,0.029,27,87,0.9903,3.3,0.59,12.6,7
"538",7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
"1848",7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9,5
"3186",6.5,0.21,0.4,7.3,0.041,49,115,0.99268,3.21,0.43,11,6
"3405",5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6
"1079",6.5,0.26,0.34,16.3,0.051,56,197,1.0004,3.49,0.42,9.8,5
"4703",6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6
"464",6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
"47",6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
"337",6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6
"661",7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
"278",7.7,0.26,0.4,1.1,0.042,9,60,0.9915,2.89,0.5,10.6,5
"4111",7.6,0.4,0.27,1.2,0.053,23,193,0.99164,3.22,0.38,11.6,5
"2296",7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6
"4121",7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9,5
"2262",6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6
"700",7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5
"2835",6.2,0.15,0.27,1.4,0.041,51,117,0.9909,3.28,0.38,11.2,6
"2087",8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5
"342",8,0.24,0.36,1.5,0.047,17,129,0.9948,3.2,0.54,10,6
"2224",6.9,0.23,0.33,12.8,0.056,44,169,0.998,3.42,0.42,9.8,6
"3637",6.5,0.26,0.39,1.4,0.02,12,66,0.99089,3.25,0.75,11.3,7
"1083",6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6
"3898",7,0.24,0.3,12.3,0.035,72,172,0.9954,2.99,0.57,10.4,6
"3325",6.9,0.17,0.3,2,0.047,13,117,0.99152,3.16,0.51,11.6,6
"1540",7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6
"2991",5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7
"525",5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5
"2494",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
"4351",7,0.36,0.25,5.7,0.015,14,73,0.98963,2.82,0.59,13.2,6
"1275",8.4,0.35,0.56,13.8,0.048,55,190,0.9993,3.07,0.58,9.4,6
"3601",6.8,0.12,0.3,12.9,0.049,32,88,0.99654,3.2,0.35,9.9,6
"4410",6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7
"1935",6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6
"4618",5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7
"2479",6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6
"287",6.5,0.28,0.33,15.7,0.053,51,190,0.9978,3.22,0.51,9.7,6
"4373",7.1,0.23,0.23,3.5,0.038,23,112,0.99157,3.05,0.37,11.3666666666667,6
"760",7.1,0.13,0.4,1.2,0.047,54,134,0.9932,3.3,0.97,9.8,7
"1861",6.7,0.18,0.19,4.7,0.046,57,161,0.9946,3.32,0.66,10.5,6
"425",6.9,0.23,0.38,8.3,0.047,47,162,0.9954,3.34,0.52,10.5,7
"1807",7.6,0.38,0.2,3.4,0.046,9,116,0.9944,3.15,0.41,9.4,5
"4813",5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7
"1593",6.8,0.21,0.74,1.2,0.047,25,111,0.9916,3.13,0.41,10.7,6
"4223",6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
"4766",5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8
"2795",6.8,0.35,0.53,10.1,0.053,37,151,0.9963,3.07,0.4,9.4,5
"715",6,0.39,0.26,2.7,0.038,39,187,0.99325,3.41,0.5,10.8,6
"4614",5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,5
"273",5.8,0.25,0.26,13.1,0.051,44,148,0.9972,3.29,0.38,9.3,5
"3971",6.7,0.18,0.31,10.6,0.035,42,143,0.99572,3.08,0.49,9.8,7
"1771",7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6
"1005",5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6
"4244",6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6
"38",7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
"882",8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6
"4532",7.3,0.28,0.54,12.9,0.049,62,162.5,0.9984,3.06,0.45,9.1,6
"820",6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5
"470",7.2,0.29,0.53,18.15,0.047,59,182,0.9992,3.09,0.52,9.6,5
"1312",6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6
"2062",6.7,0.23,0.33,1.8,0.036,23,96,0.9925,3.32,0.4,10.8,6
"3419",7.2,0.37,0.4,11.6,0.032,34,214,0.9963,3.1,0.51,9.8,6
"3990",6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,6
"141",6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5
"2424",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
"501",7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6
"3711",4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5
"261",6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
"675",6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5
"3630",6.4,0.36,0.2,5.7,0.118,61,172,0.9946,3.24,0.43,9.5,6
"3120",5.9,0.19,0.37,0.8,0.027,3,21,0.9897,3.09,0.31,10.8,5
"878",6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6
"4146",6.8,0.26,0.29,11.9,0.052,54,160,0.99546,3.03,0.58,10.4,6
"4496",6.8,0.23,0.39,16.1,0.053,71,194,0.9988,3.18,0.64,10.2,6
"1919",6.6,0.35,0.29,14.4,0.044,54,177,0.9991,3.17,0.58,8.9,6
"1879",8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,6
"4848",4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,7
"2056",7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6
"142",7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
"1681",7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,5
"608",7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,5
"4712",5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
"3060",8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
"1278",7.6,0.31,0.29,10.5,0.04,21,145,0.9966,3.04,0.35,9.4,5
"198",6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5
"3500",6.1,0.33,0.3,3,0.036,30,124,0.98922,3.31,0.4,13.1,7
"4558",6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6
"2245",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5
"2539",5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
"2780",6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
"3749",6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9,5
"181",6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,6
"4183",7.5,0.38,0.56,9.7,0.055,15,170,0.99605,3.13,0.65,9.9,6
"2712",5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
"3831",4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,7
"1528",7.9,0.28,0.49,7.7,0.045,48,195,0.9954,3.04,0.55,11,6
"3726",6.6,0.26,0.28,9.4,0.028,13,121,0.99254,3.17,0.34,12.1,6
"3989",6.1,0.2,0.17,1.6,0.048,46,129,0.991,3.3,0.43,11.4,6
"1704",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
"1303",7.4,0.19,0.42,6.4,0.067,39,212,0.9958,3.3,0.33,9.6,6
"3303",6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6
"4381",5.7,0.31,0.29,7.3,0.05,33,143,0.99332,3.31,0.5,11.0666666666667,6
"4536",7.3,0.26,0.53,12.7,0.047,60.5,156,0.9984,3.06,0.45,9.1,6
"2392",6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
"4681",6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
"352",7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
"609",6.1,0.28,0.25,17.75,0.044,48,161,0.9993,3.34,0.48,9.5,5
"2177",6.9,0.32,0.13,7.8,0.042,11,117,0.996,3.23,0.37,9.2,5
"418",6.8,0.26,0.22,7.7,0.047,57,210,0.9959,3.1,0.47,9,5
"549",6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
"3142",5.9,0.33,0.32,8.1,0.038,9,34,0.9911,3.22,0.36,12.7,7
"2158",8.5,0.25,0.27,4.7,0.031,31,92,0.9922,3.01,0.33,12,6
"629",7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,6
"1031",7.1,0.2,0.41,2.1,0.054,24,166,0.9948,3.48,0.62,10.5,6
"1973",7.6,0.2,0.26,4.5,0.086,37,133,0.9963,3.15,0.42,9.2,5
"1958",7,0.12,0.32,7.2,0.058,22,89,0.9966,3.29,0.38,9.2,6
"93",6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
"3885",6,0.28,0.24,17.8,0.047,42,111,0.99896,3.1,0.45,8.9,6
"475",5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6
"4518",6.8,0.17,0.17,5.1,0.049,26,82,0.993,3,0.38,9.8,6
"2528",7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
"1978",8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,6
"4705",6.3,0.36,0.5,8.3,0.053,51,202,0.9955,3.2,0.51,9.6,6
"4861",6,0.52,0.33,7.7,0.046,24,119,0.99224,3.04,0.38,11,6
"2940",7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
"3423",6.2,0.28,0.28,4.3,0.026,22,105,0.989,2.98,0.64,13.1,8
"643",6.3,0.21,0.33,13.9,0.046,68,179,0.9971,3.36,0.5,10.4,6
"3757",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5
"2553",6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5
"3464",6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7
"1509",6.8,0.21,0.49,14.5,0.06,50,170,0.9991,3.55,0.44,9.8,6
"341",7.4,0.2,0.43,7.8,0.045,27,153,0.9964,3.19,0.55,9,7
"1665",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
"1647",6.4,0.22,0.49,7.5,0.054,42,151,0.9948,3.27,0.52,10.1,6
"2269",6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
"2543",8.9,0.27,0.34,10.7,0.029,19.5,166,0.99669,3.13,0.48,10.6,5
"2150",6.8,0.24,0.34,5.1,0.038,31,99,0.9921,3.24,0.46,11.8,6
"4624",6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
"1430",6.1,0.22,0.49,1.5,0.051,18,87,0.9928,3.3,0.46,9.6,5
"1030",6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
"222",7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6
"149",6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
"3772",6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6
"4374",6.1,0.26,0.28,1.7,0.043,24,98,0.98918,3.14,0.44,12.5,6
"3580",7.4,0.25,0.28,7.25,0.028,14,78,0.99238,2.94,0.37,11.5,7
"3376",7.8,0.22,0.26,9,0.047,38,132,0.997,3.25,0.53,10.2,6
"1912",7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6
"1711",8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,5
"4852",6.4,0.33,0.44,8.9,0.055,52,164,0.99488,3.1,0.48,9.6,5
"1608",5.8,0.19,0.49,4.9,0.04,44,118,0.9935,3.34,0.38,9.5,7
"4560",6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,7
"4178",6.4,0.25,0.33,1.7,0.037,35,113,0.99164,3.23,0.66,10.6,6
"4329",6.4,0.42,0.19,9.3,0.043,28,145,0.99433,3.23,0.53,10.98,5
"2355",6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6
"566",7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10,6
"1171",7.7,0.25,0.43,4.5,0.062,20,115,0.9966,3.38,0.5,9.9,6
"1962",9.5,0.21,0.47,1.3,0.039,21,123,0.9959,2.9,0.64,9.5,5
"2517",7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6
"1572",7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6
